date,S&P,Shiller,Log SNP
12/7/2021,"4,686.75",39.58,8.452494657
1/1/2021,"4,011.40",34.51,8.296895587
1/1/2020,"3,514.79",30.99,8.164735059
1/1/2019,"2,865.08",28.38,7.960351552
1/1/2018,"3,113.07",33.31,8.043364657
1/1/2017,"2,591.32",28.06,7.859922677
1/1/2016,"2,239.88",24.21,7.714177572
1/1/2015,"2,400.32",26.49,7.783357341
1/1/2014,"2,154.81",24.86,7.675457832
1/1/2013,"1,778.11",21.9,7.483306281
1/1/2012,"1,587.04",21.21,7.369625925
1/1/2011,"1,610.91",22.98,7.384554516
1/1/2010,"1,434.19",20.53,7.268355509
1/1/2009,"1,133.88",15.17,7.033400659
1/1/2008,"1,806.66",24.02,7.499235116
1/1/2007,"1,946.03",27.21,7.573546679
1/1/2006,"1,783.57",26.47,7.486372253
1/1/2005,"1,713.50",26.59,7.446293341
1/1/2004,"1,691.37",27.66,7.43329413
1/1/2003,"1,363.67",22.9,7.217934874
1/1/2002,"1,780.74",30.28,7.484784287
1/1/2001,"2,109.77",36.98,7.654334216
1/1/2000,"2,335.92",43.77,7.756161097
1/1/1999,"2,102.23",40.57,7.650753965
1/1/1998,"1,648.85",32.86,7.407833354
1/1/1997,"1,332.04",28.33,7.194466881
1/1/1996,"1,100.66",24.76,7.003665279
1/1/1995,856.17,20.22,6.752468955
1/1/1994,894.83,21.41,6.796633756
1/1/1993,844.18,20.32,6.738365742
1/1/1992,833.33,19.77,6.725429722
1/1/1991,668.85,15.61,6.50555982
1/1/1990,738.08,17.05,6.60405222
1/1/1989,651.85,15.09,6.479814474
1/1/1988,598.84,13.9,6.394994451
1/1/1987,657.89,14.92,6.489037744
1/1/1986,525.42,11.72,6.264197943
1/1/1985,449.88,10,6.108980881
1/1/1984,451.66,9.89,6.112929684
1/1/1983,408.1,8.76,6.011512242
1/1/1982,344.05,7.39,5.840786996
1/1/1981,422.83,9.26,6.046970207
1/1/1980,394.26,8.85,5.97701059
1/1/1979,403.79,9.26,6.000894941
1/1/1978,399.39,9.24,5.989938383
1/1/1977,490.77,11.44,6.195975586
1/1/1976,481.84,11.19,6.177612109
1/1/1975,385.21,8.92,5.95378864
1/1/1974,570.45,13.53,6.346425523
1/1/1973,768.74,18.71,6.644752811
1/1/1972,695.17,17.26,6.54415642
1/1/1971,649.71,16.46,6.476526109
1/1/1970,660.81,17.09,6.493466355
1/1/1969,792.47,21.19,6.67515465
1/1/1968,770.88,21.51,6.647532719
1/1/1967,709.97,20.43,6.565222716
1/1/1966,811.68,24.06,6.699106174
1/1/1965,763.46,23.27,6.637860733
1/1/1964,684.31,21.63,6.528411031
1/1/1963,591.94,19.26,6.383405278
1/1/1962,636.8,21.2,6.456455635
1/1/1961,554.29,18.47,6.317688015
1/1/1960,547.8,18.34,6.305910257
1/1/1959,530.48,17.98,6.273782257
1/1/1958,397.67,13.79,5.985622516
1/1/1957,455.27,16.72,6.12089065
1/1/1956,455.65,18.29,6.121724971
1/1/1955,368.79,15.99,5.910227376
1/1/1954,261.78,12,5.567504456
1/1/1953,272.22,13.01,5.606610563
1/1/1952,252.48,12.53,5.531332038
1/1/1951,230.96,11.9,5.442244535
1/1/1950,198.67,10.75,5.291645157
1/1/1949,177.02,10.25,5.176262721
1/1/1948,173.07,10.42,5.153696137
1/1/1947,195.67,11.47,5.276429567
1/1/1946,273.85,15.62,5.612580511
1/1/1945,209.62,11.96,5.345296368
1/1/1944,188.37,11.05,5.238408114
1/1/1943,165.14,10.15,5.106793599
1/1/1942,157.32,10.1,5.058281948
1/1/1941,206.95,13.9,5.332477218
1/1/1940,244.75,16.38,5.500237281
1/1/1939,246.95,15.6,5.509185887
1/1/1938,220.3,13.51,5.394990254
1/1/1937,345.05,21.62,5.843689334
1/1/1936,275.79,17.09,5.619639707
1/1/1935,188.32,11.5,5.238142644
1/1/1934,220.85,13.03,5.397483738
1/1/1933,152.02,8.73,5.024012091
1/1/1932,160.54,9.31,5.078543133
